,Nu,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
148,25.33125725,261814.1892,13.27209804,Water,Pressure,0.005,5.08016,0.001016032,0.254,0.003386773,7,5.00E-05,0.001,0.6,1000
149,14.7338,200000,17.2,Water,Pressure,0.0036,4.968,0.00138,0.1,0.008,7,0.000625,0.001,0.6,1000
150,16.78845,1000000,36.1,Water,Pressure,0.00601,4.96426,0.000826,0.2,0.008,7,0.000625,0.001,0.6,1000
151,25.145725,272000,15.16047493,Water,Pressure,0.036054422,19.8299321,0.00055,0.0033,0.0007,7,4.90E-05,0.001,0.6,1000
152,18.13295,136000,10.72007463,Water,Pressure,0.036054422,19.8299321,0.00055,0.0033,0.0007,7,4.90E-05,0.001,0.6,1000
153,8.722641618,160000,9.302042786,Water,Pressure,0.02820296,4.946065907,0.000175374,0.023,0.0006,7,0.0004,0.001,0.6,1000
154,8.385157679,260000,11.85782442,Water,Pressure,0.031970337,4.944244587,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
155,8.367579002,260000,11.85782442,Water,Pressure,0.031872995,4.92919055,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
156,10.172904,300000,14.69693846,Water,Pressure,0.044,4.928,0.000112,0.00866,0.0003,7,0.0001,0.001,0.6,1000
157,20.31155783,800000,26,Water,Pressure,0.0123941,4.822779798,0.000389119,0.05,0.045,7,0.002,0.001,0.6,1000
158,8.182796695,260000,11.85782442,Water,Pressure,0.030855383,4.771815836,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
159,9.041897881,300000,14.69693846,Water,Pressure,0.042,4.746,0.000113,0.00866,0.0003,7,0.0001,0.001,0.6,1000
160,8.385807499,160000,9.302042786,Water,Pressure,0.026634386,4.67097881,0.000175374,0.023,0.0006,7,0.0004,0.001,0.6,1000
161,8.378587954,160000,9.302042786,Water,Pressure,0.026601074,4.665136752,0.000175374,0.023,0.0006,7,0.0004,0.001,0.6,1000
162,8.285698434,160000,9.302042786,Water,Pressure,0.026173623,4.59017296,0.000175374,0.023,0.0006,7,0.0004,0.001,0.6,1000
163,12.12925614,689000,18.04307346,FC-72,Pressure,0.002481714,0.182405979,2.80E-05,0.005,0.0007,12,4.90E-05,0.00064,0.057,1680
164,8.337352926,300000,14.69693846,Water,Pressure,0.04,4.56,0.000114,0.00866,0.0003,7,0.0001,0.001,0.6,1000
165,7.913420228,260000,11.85782442,Water,Pressure,0.029390499,4.545270061,0.000154651,0.023,0.0006,7,0.0004,0.001,0.6,1000
166,21.949,272000,15.16047493,Water,Pressure,0.036054422,18.027211,0.0005,0.005,0.0007,7,4.90E-05,0.001,0.6,1000
167,15.48266667,136000,10.72007463,Water,Pressure,0.036054422,18.027211,0.0005,0.005,0.0007,7,4.90E-05,0.001,0.6,1000
168,10.45875,200000,17.2,Water,Pressure,0.00196,4.41,0.00225,0.3,0.008,7,0.000625,0.001,0.6,1000
169,8.017798171,250000,13.41640786,Water,Pressure,0.038,4.37,0.000115,0.00866,0.0003,7,0.0001,0.001,0.6,1000
170,7.921330669,160000,9.302042786,Water,Pressure,0.024517944,4.299809911,0.000175374,0.023,0.0006,7,0.0004,0.001,0.6,1000
171,22.27584453,253428.7027,13.05782643,Water,Pressure,0.005,4.27787,0.000855574,0.254,0.002851913,7,5.00E-05,0.001,0.6,1000
172,7.79500326,160000,9.302042786,Water,Pressure,0.023951845,4.200530865,0.000175374,0.023,0.0006,7,0.0004,0.001,0.6,1000
173,7.515224699,250000,13.41640786,Water,Pressure,0.036,4.176,0.000116,0.00866,0.0003,7,0.0001,0.001,0.6,1000
174,19.60658,272000,15.16047493,Water,Pressure,0.036054422,16.58503412,0.00046,0.007,0.0007,7,4.90E-05,0.001,0.6,1000
175,13.07105333,136000,10.72007463,Water,Pressure,0.036054422,16.58503412,0.00046,0.007,0.0007,7,4.90E-05,0.001,0.6,1000
176,10.62983158,483000,15.1068693,FC-72,Pressure,0.002250857,0.16543799,2.80E-05,0.005,0.0007,12,4.90E-05,0.00064,0.057,1680
177,13.1659,620528,19.3757436,Water,Pressure,0.00443,4.123852544,0.000837803,0.03,0.00076,7,0.001963,0.0009,0.6,1000
178,20.44041566,250633.5405,12.98561689,Water,Pressure,0.005,4.09748,0.000819496,0.254,0.002731653,7,5.00E-05,0.001,0.6,1000
179,13.9804245,584772,20.51915788,Water,Pressure,0.033120211,3.980618799,0.000120187,0.01451,0.00056,7,0.0002,0.001,0.6,1000
180,7.019563915,250000,13.41640786,Water,Pressure,0.034,3.978,0.000117,0.00866,0.0003,7,0.0001,0.001,0.6,1000
181,12.45769603,555838,20.00508335,Water,Pressure,0.032472935,3.954456605,0.000121777,0.01451,0.00056,7,0.0002,0.001,0.6,1000
182,10.81526251,537563,19.67346843,Water,Pressure,0.031739016,3.898725508,0.000122837,0.01451,0.00056,7,0.0002,0.001,0.6,1000
183,12.7786,620528,19.3757436,Water,Pressure,0.00443,3.892104478,0.000790721,0.03,0.00076,7,0.001963,0.0009,0.6,1000
184,9.33119409,516244,19.27941078,Water,Pressure,0.031091564,3.859426931,0.000124131,0.01451,0.00056,7,0.0002,0.001,0.6,1000
185,9.748,2000000,49.6,Water,Pressure,0.0096,3.84,0.0004,0.1,0.008,7,0.000625,0.001,0.6,1000
186,10.956575,2000000,49.6,Water,Pressure,0.00557,3.81545,0.000685,0.3,0.008,7,0.000625,0.001,0.6,1000
187,7.649626188,501015,18.99291447,Water,Pressure,0.030328998,3.794066663,0.000125097,0.01451,0.00056,7,0.0002,0.001,0.6,1000
188,7.25182888,455330,18.1062862,Water,Pressure,0.02934833,3.763453749,0.000128234,0.01451,0.00056,7,0.0002,0.001,0.6,1000
189,12.98026667,200000,17.2,Water,Pressure,0.00215,3.698,0.00172,0.2,0.008,7,0.000625,0.001,0.6,1000
190,11.83865833,500000,26.2,Water,Pressure,0.00472,3.68632,0.000781,0.1,0.008,7,0.000625,0.001,0.6,1000
191,6.698981344,423350,17.45886594,Water,Pressure,0.028151494,3.678696478,0.000130675,0.01451,0.00056,7,0.0002,0.001,0.6,1000
192,12.1271,620528,19.3757436,Water,Pressure,0.00443,3.673168956,0.000746242,0.03,0.00076,7,0.001963,0.0009,0.6,1000
193,6.411345227,405076,17.07790151,Water,Pressure,0.027286116,3.606596955,0.000132177,0.01451,0.00056,7,0.0002,0.001,0.6,1000
194,5.891579198,367005,16.25557135,Water,Pressure,0.0263058,3.56706648,0.0001356,0.01451,0.00056,7,0.0002,0.001,0.6,1000
195,11.3374,620528,19.3757436,Water,Pressure,0.00443,3.516868711,0.000714488,0.03,0.00076,7,0.001963,0.0009,0.6,1000
196,20.4538006,247838.3784,12.91300356,Water,Pressure,0.005,3.50102,0.000700204,0.254,0.002334013,7,5.00E-05,0.001,0.6,1000
197,5.272040327,325888,15.31794242,Water,Pressure,0.02486362,3.476878894,0.000139838,0.01451,0.00056,7,0.0002,0.001,0.6,1000
198,10.4414,620528,19.3757436,Water,Pressure,0.00443,3.416081289,0.000694012,0.03,0.00076,7,0.001963,0.0009,0.6,1000
199,8.749136842,344000,12.74911762,FC-72,Pressure,0.001846857,0.13089599,2.70E-05,0.005,0.0007,12,4.90E-05,0.00064,0.057,1680
200,10.13175,500000,26.2,Water,Pressure,0.00247,3.3345,0.00135,0.3,0.008,7,0.000625,0.001,0.6,1000
201,9.779568333,1000000,36.1,Water,Pressure,0.00666,3.32334,0.000499,0.1,0.008,7,0.000625,0.001,0.6,1000
