Nu,SVR,RFR,DT,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
138.6,138.088,144.0270175,138.6,700000,22.44994432,Water,Pressure,0.079340773,63,0.000806647,0.05,0.0427,7,0.002,0.001,0.6,1000
122,114.7560779,131.6485424,122,700000,22.44994432,Water,Pressure,0.076861374,61,0.000806647,0.05,0.0427,7,0.002,0.001,0.6,1000
105,101.744,100.0780116,105,100000,8.485281374,PF-5052,Pressure,0.14137271,61,0.000138,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
101,100.696,99.92613958,101,100000,8.485281374,PF-5052,Pressure,0.139597342,60,0.000138,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
90.06,90.38057894,89.61684196,90.06,131000,9.226256012,PF-5052,Pressure,0.137969942,57,0.00013,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
84.36578943,86.23547366,85.50668737,84.36578943,131000,9.226256012,PF-5052,Pressure,0.134130505,55.4138,0.00013,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
88.02,85.79616057,86.86117629,88.02,131000,9.226256012,PF-5052,Pressure,0.134857838,54,0.000126,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
80.73403047,81.7123517,82.53904912,80.73403047,131000,9.226256012,PF-5052,Pressure,0.130155795,52.1172,0.000126,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
95.2418467,104.6752694,102.1222134,95.2418467,200000,13,Water,Pressure,0.0282839,48.92944997,0.00172994,0.05,0.045,7,0.002,0.001,0.6,1000
84,82.1532718,81.18590856,84,131000,9.226256012,PF-5052,Pressure,0.126925024,48,0.000119,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
116.4084403,112.9768781,111.4084312,116.4084403,400000,18.38477631,Water,Pressure,0.0344809,47.52192119,0.00137821,0.05,0.045,7,0.002,0.001,0.6,1000
78.40546611,79.91545825,79.17156927,78.40546611,131000,9.226256012,PF-5052,Pressure,0.123786274,46.813,0.000119,0.0111,0.0017,9.65,0.0001,0.000517,0.062,1643
80,107.5247161,101.4341111,95.2418467,195000,11.84905059,Water,Pressure,0.0282839,43,0.0015203,0.05,0.0445,7,0.002,0.001,0.6,1000
126.9465867,119.308796,117.0372438,126.9465867,600000,22.5166605,Water,Pressure,0.0392479,42.9595739,0.00109457,0.05,0.045,7,0.002,0.001,0.6,1000
105,105,104.7183573,105,395000,16.86416319,Water,Pressure,0.0344809,42,0.001218066,0.05,0.0445,7,0.002,0.001,0.6,1000
116.6553705,114.0002496,114.7488411,116.6553705,800000,26,Water,Pressure,0.0440148,38.23702122,0.000868731,0.05,0.045,7,0.002,0.001,0.6,1000
91,100.4,99.41702347,91,390000,16.75708805,Water,Pressure,0.0344809,38,0.001102059,0.05,0.044,7,0.002,0.001,0.6,1000
105,104.3507366,105.8211383,105,595000,20.69782597,Water,Pressure,0.0392479,37,0.000942726,0.05,0.0445,7,0.002,0.001,0.6,1000
72,99.3650287,93.77101598,91,190000,11.69615321,Water,Pressure,0.0282839,37,0.001308165,0.05,0.044,7,0.002,0.001,0.6,1000
111,104.0682337,105.649407,111,585000,20.52315765,Water,Pressure,0.0392479,37,0.000942726,0.05,0.0435,7,0.002,0.001,0.6,1000
76.7217858,77.78634328,75.73264745,76.7217858,103421,8.197741506,PF-5052,Pressure,0.087139086,34.4493,0.0001244,0.01166,0.00119,9.65,0.0001,0.000517,0.062,1643
100,101.2507366,98.80837036,100,795000,23.92488244,Water,Pressure,0.0440148,33,0.000749748,0.05,0.0445,7,0.002,0.001,0.6,1000
78,100.1831175,97.82253892,91,385000,16.64932431,Water,Pressure,0.0344809,33,0.000957052,0.05,0.0435,7,0.002,0.001,0.6,1000
72.88181316,79.40187458,77.36840307,76.7217858,103421,8.197741506,PF-5052,Pressure,0.083773386,32.3999,0.0001217,0.01166,0.00119,9.65,0.0001,0.000517,0.062,1643
91,96.06823371,93.39069217,91,590000,20.61067684,Water,Pressure,0.0392479,32,0.00081533,0.05,0.044,7,0.002,0.001,0.6,1000
61,96.40408339,88.59104193,94.56077905,185000,11.54123044,Water,Pressure,0.0282839,32,0.001131386,0.05,0.0435,7,0.002,0.001,0.6,1000
