Nu,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
78.24973287,278585.1622,13.69058425,Water,Pressure,0.005,25.2664,0.00505328,0.254,0.016844267,7,0.00005,0.001,0.6,1000
48.47401026,200000,13,Water,Pressure,0.0214513,24.99762892,0.00116532,0.05,0.045,7,0.002,0.001,0.6,1000
72,785000,23.77393531,Water,Pressure,0.0440148,23,0.000522552,0.05,0.0435,7,0.002,0.001,0.6,1000
73.91668482,275790,13.62172941,Water,Pressure,0.005,22.5322,0.00450644,0.254,0.015021467,7,0.00005,0.001,0.6,1000
31.647,2000000,49.6,Water,Pressure,0.03272,22.4132,0.000685,0.1,0.008,7,0.000625,0.001,0.6,1000
52.28738984,400000,18.38477631,Water,Pressure,0.0246292,21.71389085,0.000881632,0.05,0.045,7,0.002,0.001,0.6,1000
32.5575,200000,17.2,Water,Pressure,0.00916,20.61,0.00225,0.1,0.008,7,0.000625,0.001,0.6,1000
65.92158567,272994.8378,13.55252474,Water,Pressure,0.005,20.3808,0.00407616,0.254,0.0135872,7,0.00005,0.001,0.6,1000
54.64227938,600000,22.5166605,Water,Pressure,0.028125,18.92235938,0.000672795,0.05,0.045,7,0.002,0.001,0.6,1000
42.804,500000,26.2,Water,Pressure,0.01375,18.5625,0.00135,0.1,0.008,7,0.000625,0.001,0.6,1000
54.9152785,780000,23.69810119,Water,Pressure,0.0440148,18,0.000408953,0.05,0.043,7,0.002,0.001,0.6,1000
41.74053333,1000000,36.1,Water,Pressure,0.02088,17.24688,0.000826,0.1,0.008,7,0.000625,0.001,0.6,1000
39.78933333,896000,21.88210837,FC-72,Pressure,0.009017857,16.5703125,0.00004,0.005,0.0007,12,0.000049,0.00064,0.057,1680
47.82901682,800000,26,Water,Pressure,0.0300318,15.26116971,0.000508167,0.05,0.045,7,0.002,0.001,0.6,1000
49.52867256,270199.6757,13.48296487,Water,Pressure,0.005,14.8703,0.00297406,0.254,0.009913533,7,0.00005,0.001,0.6,1000
41.11335614,689000,19.18866543,FC-72,Pressure,0.007834714,14.3962875,0.000043,0.005,0.0007,12,0.000049,0.00064,0.057,1680
50.53499013,41368.5,5.184713232,PF-5052,Pressure,0.036085813,12.5,0.000109,0.00943,0.00076,9.65,0.0001,0.000517,0.062,1643
45.60168908,41368.5,5.184713232,PF-5052,Pressure,0.034642381,12,0.000109,0.00943,0.00076,9.65,0.0001,0.000517,0.062,1643
27.21745263,483000,16.0660356,FC-72,Pressure,0.006204286,11.400375,0.000047,0.005,0.0007,12,0.000049,0.00064,0.057,1680
13.94826667,896000,21.2289111,FC-72,Pressure,0.005555,10.2073125,0.000016,0.005,0.0007,12,0.000049,0.00064,0.057,1680
29.91366667,200000,17.2,Water,Pressure,0.00579,9.9588,0.00172,0.1,0.008,7,0.000625,0.001,0.6,1000
23.59931053,344000,13.5585854,FC-72,Pressure,0.005151,9.4649625,0.000051,0.005,0.0007,12,0.000049,0.00064,0.057,1680
21.22715801,200000,13,Water,Pressure,0.009375,8.979609375,0.000957825,0.05,0.045,7,0.002,0.001,0.6,1000
