Nu,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
13.5892,689000,18.61586945,FC-72,Pressure,0.4804714,8.8286625,0.019,0.005,0.7,12,4.90E-05,0.00064,0.057,16.8
17.75193333,2000000,49.6,Water,Pressure,1.653,8.5956,0.52,0.1,8,7,0.000625,0.001,0.6,10
19.142,500000,26.2,Water,Pressure,0.796,8.1192,1.02,0.1,8,7,0.000625,0.001,0.6,10
20.0325,200000,17.2,Water,Pressure,0.348,7.83,2.25,0.2,8,7,0.000625,0.001,0.6,10
13.31917895,483000,15.58645245,FC-72,Pressure,0.4242,7.794675,0.023,0.005,0.7,12,4.90E-05,0.00064,0.057,16.8
22.92340961,400000,18.38477631,Water,Pressure,1.06462,7.539340746,0.708172,0.05,45,7,0.002,0.001,0.6,10
25.45854035,207000,10.51768918,FC-72,Pressure,0.4025571,7.3969875,0.058,0.005,0.7,12,4.90E-05,0.00064,0.057,16.8
32.29183717,256223.8649,13.12963885,Water,Pressure,0.5,7.06241,1.412482,0.254,4.708273,7,5.00E-05,0.001,0.6,10
11.69606842,344000,13.15385151,FC-72,Pressure,0.3794714,6.9727875,0.027,0.005,0.7,12,4.90E-05,0.00064,0.057,16.8
12.88118,1000000,36.1,Water,Pressure,1.066,6.58788,0.618,0.1,8,7,0.000625,0.001,0.6,10
28.79719995,264609.3514,13.34275727,Water,Pressure,0.5,6.48012,1.296024,0.254,4.32008,7,5.00E-05,0.001,0.6,10
17.42183333,2000000,49.6,Water,Pressure,0.941,6.44585,0.685,0.2,8,7,0.000625,0.001,0.6,10
9.438196069,460000,15.77238092,Water,Pressure,4.7060302,6.278148548,0.133406,0.023,0.6,7,0.0004,0.001,0.6,10
9.368268847,460000,15.77238092,Water,Pressure,4.6554516,6.210673424,0.133406,0.023,0.6,7,0.0004,0.001,0.6,10
33.73152074,267404.5135,13.41304427,Water,Pressure,0.5,6.21,1.242,0.254,4.14,7,5.00E-05,0.001,0.6,10
22.40895827,600000,22.5166605,Water,Pressure,1.15996,6.147068825,0.529938,0.05,45,7,0.002,0.001,0.6,10
19.9395,500000,26.2,Water,Pressure,0.453,6.1155,1.35,0.2,8,7,0.000625,0.001,0.6,10
9.241243659,460000,15.77238092,Water,Pressure,4.5640112,6.088685967,0.133406,0.023,0.6,7,0.0004,0.001,0.6,10
9.150193747,460000,15.77238092,Water,Pressure,4.498817,6.001712684,0.133406,0.023,0.6,7,0.0004,0.001,0.6,10
9.112039498,460000,15.77238092,Water,Pressure,4.4715846,5.965382933,0.133406,0.023,0.6,7,0.0004,0.001,0.6,10
21.91321053,138000,8.587657256,FC-72,Pressure,0.3203143,5.885775,0.065,0.005,0.7,12,4.90E-05,0.00064,0.057,16.8
12.44691151,400000,16.97056275,Water,Pressure,5.5,5.83,0.106,0.00866,0.3,7,0.0001,0.001,0.6,10
9.133557384,360000,13.95306418,Water,Pressure,4.0915333,5.816140622,0.142151,0.023,0.6,7,0.0004,0.001,0.6,10
9.125715408,360000,13.95306418,Water,Pressure,4.0864298,5.808885891,0.142151,0.023,0.6,7,0.0004,0.001,0.6,10
8.930695644,460000,15.77238092,Water,Pressure,4.3428592,5.793654847,0.133406,0.023,0.6,7,0.0004,0.001,0.6,10
10.94705263,207000,10.20372831,FC-72,Pressure,0.3131,5.7532125,0.03,0.005,0.7,12,4.90E-05,0.00064,0.057,16.8
9.029171435,360000,13.95306418,Water,Pressure,4.0237621,5.719803403,0.142151,0.023,0.6,7,0.0004,0.001,0.6,10
26.05698958,259019.027,13.20106062,Water,Pressure,0.5,5.69629,1.139258,0.254,3.797527,7,5.00E-05,0.001,0.6,10
11.94999183,400000,16.97056275,Water,Pressure,5.3,5.671,0.107,0.00866,0.3,7,0.0001,0.001,0.6,10
8.839755713,360000,13.95306418,Water,Pressure,3.9016921,5.546280117,0.142151,0.023,0.6,7,0.0004,0.001,0.6,10
11.3695267,400000,16.97056275,Water,Pressure,5.1,5.508,0.108,0.00866,0.3,7,0.0001,0.001,0.6,10
10.897205,350000,15.87450787,Water,Pressure,4.9,5.39,0.11,0.00866,0.3,7,0.0001,0.001,0.6,10
