P,Fluid,um,Q,Re,Nu,dd,H,dn,Pr,At,mio,k,rho
294199.5,water,14.55416229,7.04151,0.954901039,4.049932769,1.36E+02,1.80E+01,5.10E+02,7,3.14,1,0.6,1000
294199.5,water,14.55416229,7.31321,0.991746349,4.158059354,1.36E+02,1.80E+01,5.10E+02,7,3.14,1,0.6,1000
294199.5,water,14.55416229,7.72075,1.047012956,4.30675601,1.36E+02,2.00E+01,5.10E+02,7,3.14,1,0.6,1000
215746.3,water,12.46343997,8.24151,1.211117519,4.842774234,1.47E+02,2.00E+01,5.10E+02,7,3.14,1,0.6,1000
215746.3,water,12.46343997,8.53585,1.254371768,4.959969532,1.47E+02,2.00E+01,5.10E+02,7,3.14,1,0.6,1000
215746.3,water,12.46343997,8.83019,1.297626018,5.106457532,1.47E+02,2.00E+01,5.10E+02,7,3.14,1,0.6,1000
196133,water,11.88342375,9.07925,1.367571925,5.474304395,1.51E+02,2.20E+01,5.10E+02,7,3.14,1,0.6,1000
196133,water,11.88342375,9.35094,1.408495527,5.654478303,1.51E+02,2.20E+01,5.10E+02,7,3.14,1,0.6,1000
196133,water,11.88342375,9.69057,1.459652666,5.774602609,1.51E+02,2.20E+01,5.10E+02,7,3.14,1,0.6,1000
196133,water,11.88342375,9.98491,1.503987949,5.954776517,1.51E+02,2.20E+01,5.10E+02,7,3.14,1,0.6,1000
182403.69,water,11.45995885,10.3472,1.588129678,6.236055052,1.53E+02,2.30E+01,5.10E+02,7,3.14,1,0.6,1000
182403.69,water,11.45995885,10.8,1.657627235,6.404350261,1.53E+02,2.30E+01,5.10E+02,7,3.14,1,0.6,1000
182403.69,water,11.45995885,11.0717,1.699328839,6.557348232,1.53E+02,2.30E+01,5.10E+02,7,3.14,1,0.6,1000
182403.69,water,11.45995885,11.366,1.744499181,6.786832397,1.53E+02,2.30E+01,5.10E+02,7,3.14,1,0.6,1000
182403.69,water,11.45995885,11.6604,1.789684871,7.016316563,1.53E+02,2.30E+01,5.10E+02,7,3.14,1,0.6,1000
258000,water,14.0836927,0.758235,0.03791175,0.510390833,5.00E+01,2.30E+01,1.00E+02,7,11.3411,1,0.6,1000
258000,water,14.0836927,1.0099,0.050495,0.497551667,5.00E+01,2.30E+01,1.00E+02,7,11.3411,1,0.6,1000
200000,water,12.4,1.29102,0.064551,0.473640833,5.00E+01,2.30E+01,1.00E+02,7,11.3411,1,0.6,1000
258000,water,14.0836927,2.97434,0.148717,0.879825,5.00E+01,2.30E+01,1.00E+02,7,11.3411,1,0.6,1000
293000,water,15.00861086,3.4117,0.170585,1.104191667,5.00E+01,2.30E+01,1.00E+02,7,11.3411,1,0.6,1000
293000,water,15.00861086,3.96689,0.1983445,1.352833333,5.00E+01,2.30E+01,1.00E+02,7,11.3411,1,0.6,1000
244000,water,13.69624766,1.65093,0.0825465,0.5022675,5.00E+01,1.90E+01,1.00E+02,7,11.3411,1,0.6,1000
244000,water,13.69624766,1.9718,0.09859,0.526460833,5.00E+01,1.90E+01,1.00E+02,7,11.3411,1,0.6,1000
244000,water,13.69624766,2.45367,0.1226835,0.565095833,5.00E+01,1.90E+01,1.00E+02,7,11.3411,1,0.6,1000
307000,water,15.3629945,3.01222,0.150611,0.628829167,5.00E+01,1.90E+01,1.00E+02,7,11.3411,1,0.6,1000
258000,water,14.0836927,3.64739,0.1823695,0.675071667,5.00E+01,1.90E+01,1.00E+02,7,11.3411,1,0.6,1000
224000,water,13.1229265,4.53922,0.226961,0.751156667,5.00E+01,1.90E+01,1.00E+02,7,11.3411,1,0.6,1000
244000,water,13.69624766,5.35062,0.267531,0.931341667,5.00E+01,1.90E+01,1.00E+02,7,11.3411,1,0.6,1000
258000,water,14.0836927,6.65891,0.3329455,1.036308333,5.00E+01,1.90E+01,1.00E+02,7,11.3411,1,0.6,1000
